Category (What),Section,Subsection,YP ID
Outboard Motors,Sports & Recreation,Boats & Watersports,00938800
Public Swimming Pools,Sports & Recreation,Boats & Watersports,01266400
Sailmakers & Sail Repairs,Sports & Recreation,Boats & Watersports,01148800
Snorkelling Equipment & Supplies,Sports & Recreation,Boats & Watersports,01216925
Surf Shops,Sports & Recreation,Boats & Watersports,01260600
Swimming Lessons,Sports & Recreation,Boats & Watersports,01265000
Water Ski Equipment & Supplies,Sports & Recreation,Boats & Watersports,01420125
Watercraft Dealers,Sports & Recreation,Boats & Watersports,01421550
Windsurfing & Kitesurfing,Sports & Recreation,Boats & Watersports,01430500
Bowling,Sports & Recreation,Bowling,00182400
Bowling Alley Equipment & Supplies,Sports & Recreation,Bowling,00183200
Bowling Alley Refinishing & Repair,Sports & Recreation,Bowling,00183400
Bowling Clothing & Accessories,Sports & Recreation,Bowling,00182800
Car & Truck Transporting Companies,Transportation,,00098020
Cartage Hauling & Express Shipping,Transportation,,00241200
Freight Forwarding,Transportation,,00589800
Helicopter Service,Transportation,,00670200
Horse-Drawn Carriages,Transportation,,00678100
Limousine Service,Transportation,,00774000
Para-Transit & Wheelchair Transportation,Transportation,,01426475
Railroad Car Manufacturers,Transportation,,01094400
Railroad Contractors,Transportation,,01094600
Railroad Equipment & Supplies,Transportation,,01094800
"Storage, Freight & Cargo Containers",Transportation,,00361590
Transportation Service,Transportation,,01354400
Trucking,Transportation,,01363200
Air Cargo Service,Transportation,Aircrafts & Airports,00028800
Aircraft & Private Jet Charter,Transportation,Aircrafts & Airports,00034700
Aircraft Dealers,Transportation,Aircrafts & Airports,00033780
Aircraft Design & Manufacturers,Transportation,Aircrafts & Airports,00034600
"Aircraft Maintenance, Service & Storage",Transportation,Aircrafts & Airports,00034500
"Aircraft Parts, Engines & Avionics",Transportation,Aircrafts & Airports,00034650
Aviation Consultants & Services,Transportation,Aircrafts & Airports,00107800
Barges,Transportation,Boats & marine,00125400
Cargo Surveyors,Transportation,Boats & marine,01262000
Dockboards & Ramps,Transportation,Boats & marine,00434000
Marine Contractors,Transportation,Boats & marine,00824800
Marine Electronic Equipment & Supplies,Transportation,Boats & marine,00825000
Marine Engineers,Transportation,Boats & marine,00498200
Marine Equipment & Supplies,Transportation,Boats & marine,00825600
Marine Surveyors,Transportation,Boats & marine,01262800
Naval Architects,Transportation,Boats & marine,00902000
Overseas & Local Shipping,Transportation,Boats & marine,01195000
Port & Harbour Authorities,Transportation,Boats & marine,01046700
Propellers,Transportation,Boats & marine,01070600
"Rope, Twines & Cordage",Transportation,Boats & marine,01137225
Ship Brokers,Transportation,Boats & marine,01194100
Ship Building & Repairing,Transportation,Boats & marine,01194200
Ship Chandlers,Transportation,Boats & marine,01194400
Shipping Room Equipment & Supplies,Transportation,Boats & marine,01195200
Steamship Agencies,Transportation,Boats & marine,01242200
Steamship Companies,Transportation,Boats & marine,01242400
Stevedore Contractors,Transportation,Boats & marine,01248800
Water Hauling,Transportation,Boats & marine,01418975
"Bus, Coach & Minibus Equipment & Supplies",Transportation,Buses,00207145
"Bus, Coach & Minibus Manufacturers & Distributors",Transportation,Buses,00207100
"Bus, Coach & Minibus Repair & Service",Transportation,Buses,00207180
Carpooling & Car Sharing,Transportation,Mass & public transportation,00323535
Chauffeur Services,Transportation,Mass & public transportation,00269200
Taximeters,Transportation,Mass & public transportation,01287400
Water Taxi,Transportation,Mass & public transportation,01420600
Apartment Hotels,Travel & Lodging,Lodging,00682400
Apartment Rental,Travel & Lodging,Lodging,00058400
Apartments,Travel & Lodging,Lodging,00058800
Bed & Breakfasts,Travel & Lodging,Lodging,00136475
Condos & Townhouses,Travel & Lodging,Lodging,00335425
Cottage Rental,Travel & Lodging,Lodging,00373400
Dwellings,Travel & Lodging,Lodging,00456000
Guest Ranches,Travel & Lodging,Lodging,00656060
Hospitality Consultants,Travel & Lodging,Lodging,00681500
Hostels,Travel & Lodging,Lodging,00681625
Hotel Equipment & Supplies,Travel & Lodging,Lodging,00682000
Hotels,Travel & Lodging,Lodging,00682205
House Rentals,Travel & Lodging,Lodging,00685000
House Sharing Service,Travel & Lodging,Lodging,00685750
Inns,Travel & Lodging,Lodging,00711450
Log Cabins & Homes,Travel & Lodging,Lodging,00784300
Mobile Home Dealers,Travel & Lodging,Lodging,00872200
Mobile Home Manufacturers & Distributors,Travel & Lodging,Lodging,00872400
Mobile Home Parks,Travel & Lodging,Lodging,00872600
Mobile Home Transporters,Travel & Lodging,Lodging,00873200
Motels,Travel & Lodging,Lodging,00880800
Out-of-Town Apartment Hotels,Travel & Lodging,Lodging,00682450
Out-of-Town Hotels & Motels,Travel & Lodging,Lodging,00683800
Rooming & Boarding Houses,Travel & Lodging,Lodging,00159725
Tourist Accommodations,Travel & Lodging,Lodging,01338400
Helicopter & Airplane Tours,Travel & Lodging,Tours & Excursions,00019900
Historical Sites & Places,Travel & Lodging,Tours & Excursions,00672200
Museums,Travel & Lodging,Tours & Excursions,00894000
Sleigh Rides,Travel & Lodging,Tours & Excursions,01214200
Snowmobile Equipment & Accessories,Travel & Lodging,Tours & Excursions,01218200
Souvenirs,Travel & Lodging,Tours & Excursions,01229255
Tourist Attractions,Travel & Lodging,Tours & Excursions,01338700
Whale Watching,Travel & Lodging,Tours & Excursions,01426100
"Wilderness Outfitters, Guides & Tours",Travel & Lodging,Tours & Excursions,01428325
Zoos,Travel & Lodging,Tours & Excursions,01442800
Airline Ticket Agencies,Travel & Lodging,Transport,00035025
Airlines,Travel & Lodging,Transport,00035050
Airport Parking,Travel & Lodging,Transport,00035500
Airport Transportation Service,Travel & Lodging,Transport,00035600
Airports,Travel & Lodging,Transport,00035800
Boat Charter & Tours,Travel & Lodging,Transport,00160040
Bus & Coach Lines,Travel & Lodging,Transport,00206600
Bus & Coach Rental & Charter,Travel & Lodging,Transport,00207055
Bus Stations & Ticket Agencies,Travel & Lodging,Transport,00206880
Cruises,Travel & Lodging,Transport,00392900
Ferries,Travel & Lodging,Transport,00543200
Public Transit Service,Travel & Lodging,Transport,01350700
Taxis,Travel & Lodging,Transport,01287901
Train Stations & Ticket Agencies,Travel & Lodging,Transport,01347750
Trains & Railroads,Travel & Lodging,Transport,01095200
Foreign Currency Exchange,Travel & Lodging,"Travel Agencies, Clubs & Services",00578501
Holiday Resorts,Travel & Lodging,"Travel Agencies, Clubs & Services",01124000
Luggage Repair,Travel & Lodging,"Travel Agencies, Clubs & Services",00787390
Luggage Stores,Travel & Lodging,"Travel Agencies, Clubs & Services",00787600
Luggage Wholesalers & Manufacturers,Travel & Lodging,"Travel Agencies, Clubs & Services",00787800
Relocation Services,Travel & Lodging,"Travel Agencies, Clubs & Services",01114500
Sightseeing Guides & Tours,Travel & Lodging,"Travel Agencies, Clubs & Services",01204300
Tourism Consultants,Travel & Lodging,"Travel Agencies, Clubs & Services",01338150
Tourist Information Centres,Travel & Lodging,"Travel Agencies, Clubs & Services",01338800
Travel Accessories,Travel & Lodging,"Travel Agencies, Clubs & Services",01356075
Travel Agencies,Travel & Lodging,"Travel Agencies, Clubs & Services",01356100
Travel Wholesalers,Travel & Lodging,"Travel Agencies, Clubs & Services",01356290
